country_name,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15
Gibraltar,GIB,2021-05-06 00:00:00,73476,38454,35022,802,449,218.09,114.14,103.95,13327,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-07 00:00:00,74256,38727,35529,780,449,220.4,114.95,105.46,13327,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-19 00:00:00,75961,38953,37008,780,219,225.46,115.62,109.85,6500,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-28 00:00:00,77231,39060,38171,520,160,229.23,115.94,113.3,4749,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-29 00:00:00,77519,39080,38439,288,190,230.09,116,114.09,5639,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-04 00:00:00,71894,37614,34280,,337,213.39,111.64,101.75,10003,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-13 00:00:00,74461,38905,35556,,141,221.01,115.48,105.54,4185,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-18 00:00:00,75181,38923,36258,,113,223.15,115.53,107.62,3354,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-22 00:00:00,76189,38990,37199,,206,226.14,115.73,110.41,6114,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-02 00:00:00,77717,39098,38619,,159,230.68,116.05,114.63,4719,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-27 00:00:00,76711,39033,37678,,96,227.69,115.86,111.83,2849,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-08 00:00:00,77753,39118,38635,,12,230.78,116.11,114.67,356,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-12 00:00:00,77831,39133,38698,,14,231.01,116.15,114.86,416,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Greece,GRC,2020-12-28 00:00:00,447,447,,,,0,0,,,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-24 00:00:00,0,,,,12412,,,,1191,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-31 00:00:00,0,,,,16075,,,,1542,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-07 00:00:00,0,,,,17880,,,,1715,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-14 00:00:00,0,,,,18978,,,,1821,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-17 00:00:00,0,,,,5500,,,,528,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Gibraltar,GIB,2021-05-02 00:00:00,0,,,,421,,,,12496,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-03 00:00:00,0,,,,421,,,,12496,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-08 00:00:00,0,,,,426,,,,12644,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-09 00:00:00,0,,,,403,,,,11962,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-10 00:00:00,0,,,,380,,,,11279,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-11 00:00:00,0,,,,357,,,,10596,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-12 00:00:00,0,,,,250,,,,7420,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-20 00:00:00,0,,,,225,,,,6678,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-21 00:00:00,0,,,,215,,,,6382,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-23 00:00:00,0,,,,200,,,,5936,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-24 00:00:00,0,,,,194,,,,5758,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-25 00:00:00,0,,,,189,,,,5610,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-30 00:00:00,0,,,,182,,,,5402,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-31 00:00:00,0,,,,174,,,,5165,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-01 00:00:00,0,,,,166,,,,4927,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-03 00:00:00,0,,,,145,,,,4304,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-14 00:00:00,0,,,,50,,,,1484,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-15 00:00:00,0,,,,66,,,,1959,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-16 00:00:00,0,,,,81,,,,2404,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-17 00:00:00,0,,,,97,,,,2879,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-05-26 00:00:00,0,,,,92,,,,2731,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-04 00:00:00,0,,,,71,,,,2107,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-05 00:00:00,0,,,,31,,,,920,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-06 00:00:00,0,,,,25,,,,742,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-07 00:00:00,0,,,,18,,,,534,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-10 00:00:00,0,,,,10,,,,297,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-11 00:00:00,0,,,,12,,,,356,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
Gibraltar,GIB,2021-06-09 00:00:00,0,,,,8,,,,237,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
